FEATURE_SET;LEADTIME_MIN;MSE_TOTAL;MSE_REG;MSE_CMV;MAE_TOTAL;MAE_REG;MAE_CMV;RMSE_TOTAL;RMSE_REG;RMSE_CMV;DELTA_RMSE;SHARE_REG_PCT;SHARE_CMV_PCT
FS4_SEV4_TIME;0;0,013393918830178826;0,013393918830178826;0,0;0,08212334087610487;0,08212334087610487;0,0;0,1157320993941561;0,1157320993941561;0,0;0,0;100,0;0,0
FS4_SEV4_TIME;15;0,012408437978363928;0,01448902148515781;0,0017743274070290264;0,07882925368153851;0,0846978446578898;0,02195947231682738;0,11139316845464055;0,12037035135430074;0,04212276589955871;-0,008977182899660194;89,09002433144971;10,909975668550286
FS4_SEV4_TIME;30;0,012570131675364839;0,01582918356252369;0,00363799319963636;0,08022577326889081;0,08948885481122798;0,03611130531055415;0,11211659857204391;0,12581408332346458;0,06031577902702045;-0,013697484751420672;81,31216845625082;18,6878315437492
FS4_SEV4_TIME;45;0,013531933770810106;0,01621762036148111;0,0045464603845113485;0,084917598387427;0,09344468521214033;0,04352234609935868;0,11632684028550808;0,12734842111891734;0,06742744533579297;-0,011021580833409261;78,1042058151848;21,895794184815195
FS4_SEV4_TIME;60;0,016046031517780994;0,01663499539835078;0,007708391947505112;0,09565161853297262;0,09602369920489315;0,05660250906054097;0,12667293127492155;0,12897672425034984;0,08779744841113045;-0,0023037929754282926;68,33476032735702;31,665239672642986
FS4_SEV4_TIME;75;0,018749944438121974;0,014249278200056996;0,008525939573972812;0,10437481124332422;0,08963544477114908;0,061055023738944655;0,13693043649284833;0,11937034053757657;0,09233601450123788;0,017560095955271762;62,564838419701985;37,43516158029802
FS4_SEV4_TIME;90;0,021911138951838008;0,01396018831357499;0,00979487467353342;0,11079844535164522;0,09282524094431881;0,06278861967836688;0,14802411611571273;0,11815324080859987;0,09896905917272034;0,029870875307112854;58,76721236711104;41,232787632888964
FS4_SEV4_TIME;105;0,022830955547669445;0,01364698277059986;0,010570505883626144;0,11169986433797051;0,08957452736810959;0,06725093638119589;0,1510991579978838;0,11682030119204392;0,1028129655424166;0,034278856805839863;56,35176696250226;43,648233037497754
FS4_SEV4_TIME;120;0,028156819363490227;0,018091177833728857;0,010781900579539549;0,12493669174959537;0,09809062983758732;0,06643528707812152;0,16779993850860087;0,1345034491517926;0,10383593106213065;0,03329648935680826;62,65759949384265;37,34240050615735
FS4_SEV4_TIME;135;0,024270142750488076;0,013764281602376036;0,010361916291034055;0,11766718638705993;0,08779236192252922;0,0685486334790389;0,15578877607352873;0,11732127514809935;0,10179349827486063;0,038467500925429374;57,051184207254046;42,948815792745954
FS4_SEV4_TIME;150;0,032877105220912944;0,018186253630887408;0,010326742850509538;0,13916302655228024;0,09574601521294367;0,07172894478976682;0,1813204489871811;0,13485641857504377;0,10162058280933808;0,04646403041213734;63,78233042869721;36,21766957130279
FS4_SEV4_TIME;165;0,030926351023326158;0,013409326696949081;0,011252984851983668;0,1357991836447079;0,08637532545810164;0,07991433632602915;0,1758588952067144;0,11579864721553997;0,1060800869719839;0,060060247991174445;54,37173506766994;45,62826493233006
FS4_SEV4_TIME;180;0,024860501511692713;0,014546362382195711;0,01014338854807127;0,12182687882557959;0,09305310469882636;0,07308090297251596;0,1576721329585311;0,1206083014646824;0,10071439096807998;0,0370638314938487;58,91660237189122;41,083397628108784
FS5_SEV4_GIS_TIME;0;0,008576901237734504;0,008576901237734504;0,0;0,06727618378235312;0,06727618378235312;0,0;0,09261156103713242;0,09261156103713242;0,0;0,0;100,0;0,0
FS5_SEV4_GIS_TIME;15;0,00816461039706312;0,010319127027490275;0,0016205625418614488;0,06574422400329834;0,07232924005913917;0,021592578793941393;0,09035823369822542;0,10158310404535921;0,04025621122089669;-0,011224870347133792;86,42709651328532;13,572903486714678
