SCENARIO;FEATURE_SET;LEADTIME_MIN;MSE_TOTAL;MSE_REG;MSE_CMV;MAE_TOTAL;MAE_REG;MAE_CMV;RMSE_TOTAL;RMSE_REG;RMSE_CMV;DELTA_RMSE;SHARE_REG_PCT;SHARE_CMV_PCT
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS8_SEV12_GIS_TIME;60;0,006363940988507678;0,005040015651054728;0,0022802595771339164;0,06152142812669527;0,053461405598961786;0,044663082697053456;0,07977431283632394;0,07099306762673893;0,04775206359031949;0,008781245209585009;68,85008410130294;31,14991589869705
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS8_SEV12_GIS_TIME;75;0,008438353281306212;0,006477965599831295;0,003344529726090057;0,0718580948321106;0,061300298519792316;0,054787690809679414;0,09186050991207381;0,08048580992840475;0,057831909237807955;0,011374699983669065;65,95030473301509;34,04969526698491
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS8_SEV12_GIS_TIME;90;0,011346507830816218;0,007616205036927734;0,004463828735549771;0,08483980052740515;0,06744205594932623;0,0634258059948099;0,10651998794036835;0,08727087164070114;0,06681189067486244;0,019249116299667204;63,047878676300414;36,95212132369958
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS8_SEV12_GIS_TIME;105;0,01610338603293588;0,008177188190010497;0,005109794030166313;0,10464234994582652;0,0698184217568034;0,06712637884227851;0,12689911754199035;0,0904278065088969;0,07148282332257389;0,03647131103309345;61,542854912480514;38,45714508751948
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS8_SEV12_GIS_TIME;120;0,021794675366053205;0,00888903950549503;0,009171846959794618;0,125967183048827;0,07342438504933495;0,09147148942375041;0,14763019801535593;0,09428170291999943;0,09576976015316431;0,053348495095356496;49,217072055562994;50,78292794443702
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS8_SEV12_GIS_TIME;135;0,027277334153326484;0,00954072258549835;0,010459079121493482;0,14275316609260588;0,07710492945920451;0,09698401189516924;0,16515851220365993;0,09767662251275046;0,10226963929482435;0,06748188969090947;47,70408589682647;52,29591410317354
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS8_SEV12_GIS_TIME;150;0,029988260660912276;0,010655853166694365;0,011786749720777699;0,14973807800888272;0,08230050996382776;0,10264224061784126;0,17317118888808344;0,10322719199268361;0,1085667984274092;0,06994399689539983;47,48046926697031;52,51953073302968
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS8_SEV12_GIS_TIME;165;0,02887484703445321;0,011417366721101213;0,010812245592990629;0,14598144047760583;0,08499534388330597;0,09849584068802843;0,16992600458568197;0,10685207869340312;0,10398194839966517;0,06307392589227885;51,3610699088238;48,638930091176206
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS8_SEV12_GIS_TIME;180;0,033911111541200446;0,012774839928028959;0,011645603271756682;0,1619164623002498;0,09093199504873047;0,10288603159506916;0,1841496987268794;0,11302583743564548;0,10791479635229213;0,07112386129123391;52,31207240391564;47,687927596084364
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS9_SEV12_GIS_SENSOR_TIME;0;0,0003954232437410141;0,0003954232437410141;0,0;0,010714337159588331;0,010714337159588331;0,0;0,01988525191545267;0,01988525191545267;0,0;0,0;100,0;0,0
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS9_SEV12_GIS_SENSOR_TIME;15;0,001651453640714005;0,0014270640235075362;1,8205923929142093e-05;0,02445638383446499;0,022778840718107957;0,0024021770384974944;0,04063808116427257;0,037776500943146336;0,004266840040257203;0,002861580221126231;98,74030979738893;1,2596902026110766
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS9_SEV12_GIS_SENSOR_TIME;30;0,004500974981189407;0,004069664531764219;3,131928261853006e-05;0,045469836045166814;0,04289943979751356;0,0034812825884836824;0,06708930601213138;0,06379392237324978;0,00559636333868076;0,0032953836388815994;99,23629831191508;0,7637016880849118
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS9_SEV12_GIS_SENSOR_TIME;45;0,009027524804537163;0,007707944724052695;0,00012740760379282065;0,07079816501224694;0,06621470244477887;0,006072328273040145;0,09501328751567942;0,08779490146957677;0,011287497676315183;0,007218386046102643;98,37393905900012;1,6260609409998783
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS9_SEV12_GIS_SENSOR_TIME;60;0,015960268568345194;0,013147891805756165;0,00022385941793585736;0,1008936184630644;0,09085788691745676;0,011606679881797798;0,12633395651346155;0,11466425687962298;0,014961932292850992;0,01166969963383857;98,32587808290043;1,6741219170995647
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS9_SEV12_GIS_SENSOR_TIME;75;0,025933907887596093;0,0205955767878269;0,00047388996602021636;0,13609334343117296;0,11959729221212478;0,018414639652386974;0,1610400816181987;0,14351159112708248;0,021769013896366925;0,01752849049111621;97,75082126398054;2,249178736019448
